Designator,Mid X,Mid Y,Rotation,Layer
C1,169.6,-74.5,90.0,top
C10,167.94,-74.14,90.0,top
C11,169.37,-72.6,90.0,top
C12,167.68,-70.45,90.0,top
C13,161.24,-59.53,180.0,top
C14,162.86,-63.64,180.0,top
C15,167.17,-87.64,90.0,top
C16,161.85,-87.61,270.0,top
C17,162.7,-69.02,180.0,top
C2,169.16,-87.71,270.0,top
C3,171.060589,-74.269411,45.0,top
C4,170.98,-75.78,0.0,top
C5,160.63,-75.76,180.0,top
C6,160.08,-80.25,180.0,top
C7,171.47,-80.54,0.0,top
C8,167.18,-85.75,270.0,top
C9,168.17,-86.67,270.0,top
J1,165.38,-52.27,180.0,top
J2,156.49,-75.27,0.0,top
J3,174.27,-75.27,0.0,top
J4,165.38,-99.16,90.0,top
R1,166.93,-73.4,270.0,top
R2,165.91,-73.41,270.0,top
R3,167.62,-58.29,0.0,top
R4,164.42,-58.74,180.0,top
R5,165.69,-85.25,0.0,top
R6,159.58,-68.86,0.0,top
R7,159.86,-74.22,90.0,top
SW1,162.17,-65.87,180.0,top
U1,165.38,-79.27,90.0,top
U2,162.82,-60.9875,270.0,top
U3,161.725,-70.77,0.0,top
Y1,164.52,-87.58,180.0,top
