"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C17";"C_0402_1005Metric";13;"100nF";;;
2;"C13, C14";"C_0402_1005Metric";2;"10µF";;;
3;"C15, C16";"C_0402_1005Metric";2;"33pF";;;
4;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
5;"J2, J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
6;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
7;"R1, R2";"R_0402_1005Metric";2;"27";;;
8;"R3, R4";"R_0402_1005Metric";2;"5.1K";;;
9;"R5, R6";"R_0402_1005Metric";2;"1K";;;
10;"R7";"R_0402_1005Metric";1;"10K";;;
11;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
12;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
13;"U2";"SOT-23";1;"MCP1700x-330xxTT";;;
14;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q128JVS";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
